116,4921
400,1809
121,4941
290,2986
175,601
288,2742
470,2141
487,798
492,1778
420,1311
495,2862
437,4957
89,12
292,2185
298,913
141,3452
115,4192
456,232
136,3246
42,4508
177,34
438,1162
14,3769
79,2953
315,3668
312,2078
100,3758
86,1379
413,2355
298,2044
355,3547
495,1448
247,2521
167,363
232,3080
221,4068
56,2186
268,667
45,4909
47,4766
231,1064
41,4870
160,1481
127,254
424,4948
321,2335
210,4069
12,1165
68,4760
500,1975
436,4284
331,2680
326,2035
326,571
473,77
319,485
329,2818
9,4875
399,524
209,815
313,2841
321,447
183,4042
246,4251
48,2635
83,3057
449,1612
433,3950
434,2792
72,1868
166,4117
148,1897
74,4794
157,2524
189,1618
211,3306
391,3986
151,4853
24,3341
395,1502
275,1731
274,294
13,4322
498,3347
87,2095
385,4447
463,2047
399,550
244,3417
96,562
75,1898
213,3139
466,3618
267,918
361,2452
306,1763
373,341
321,2266
190,2859
126,861
116,1152
382,4368
474,101
50,1723
1,3511
186,670
28,1087
331,1535
332,471
461,2959
385,1705
449,654
85,38
480,3445
77,4519
314,950
389,1747
56,2493
85,1886
154,4896
129,4704
159,3787
364,234
363,3042
198,4381
21,2846
340,2188
364,281
22,3601
389,377
298,2848
240,4382
319,3406
18,2049
76,2159
388,1830
50,3610
183,3919
318,3771
314,932
384,1150
379,2033
90,81
478,890
405,3181
466,1710
197,1371
17,4486
202,695
26,3586
46,1231
448,4144
224,3208
252,2711
274,3529
420,2793
356,137
424,694
143,1990
243,1096
316,4099
239,332
178,4463
60,181
183,3785
192,388
73,1958
32,2289
124,1203
75,4332
420,4687
170,2291
438,3570
111,2075
260,106
411,1026
104,1991
179,4967
34,2160
395,3510
27,4976
268,4063
199,4759
50,438
436,3082
273,1562
69,4709
486,2451
185,2558
63,3535
157,1182
71,1312
9,3457
50,2610
119,3821
100,3648
272,2303
307,3477
357,3378
457,3489
45,1375
231,4890
53,1846
384,3488
371,3233
121,1378
393,1440
492,2902
54,3283
483,2176
311,4790
380,1355
374,3617
189,37
85,3543
460,2173
384,4767
69,2554
15,1810
344,4612
50,3416
480,3090
273,3963
477,334
446,1799
295,3883
438,2382
405,1771
96,4214
62,1848
500,2867
217,3536
88,3300
295,1173
211,2098
250,1544
408,2517
481,4565
27,1521
190,1700
218,740
484,2081
291,4110
104,1772
445,3747
185,872
499,860
169,4535
375,783
273,1782
336,1444
76,3432
390,4282
207,515
273,4006
12,2592
470,735
271,2058
445,1383
195,4838
379,1696
411,3717
407,325
371,4057
26,543
231,2050
448,3055
64,847
